PassengerId,Survived,Sex,Pclass,Fare
1,0,0,3,7.25
3,1,1,3,7.925
4,1,1,1,53.1
5,0,0,3,8.05
7,0,0,1,51.8625
8,0,0,3,21.075
10,1,1,2,30.0708
11,1,1,3,16.7
12,1,1,1,26.55
13,0,0,3,8.05
14,0,0,3,31.275
16,1,1,2,16.0
17,0,0,3,29.125
18,1,0,2,13.0
19,0,1,3,18.0
20,1,1,3,7.225
21,0,0,2,26.0
22,1,0,2,13.0
23,1,1,3,8.0292
24,1,0,1,35.5
25,0,1,3,21.075
26,1,1,3,31.3875
27,0,0,3,7.225
29,1,1,3,7.8792
30,0,0,3,7.8958
33,1,1,3,7.75
34,0,0,2,10.5
36,0,0,1,52.0
37,1,0,3,7.2292
39,0,1,3,18.0
40,1,1,3,11.2417
42,0,1,2,21.0
43,0,0,3,7.8958
44,1,1,2,41.5792
45,1,1,3,7.8792
46,0,0,3,8.05
47,0,0,3,15.5
48,1,1,3,7.75
49,0,0,3,21.6792
50,0,1,3,17.8
51,0,0,3,39.6875
52,0,0,3,7.8
53,1,1,1,76.7292
54,1,1,2,26.0
55,0,0,1,61.9792
57,1,1,2,10.5
58,0,0,3,7.2292
59,1,1,2,27.75
60,0,0,3,46.9
62,1,1,1,80.0
64,0,0,3,27.9
65,0,0,1,27.7208
66,1,0,3,15.2458
67,1,1,2,10.5
68,0,0,3,8.1583
69,1,1,3,7.925
70,0,0,3,8.6625
71,0,0,2,10.5
72,0,1,3,46.9
73,0,0,2,73.5
74,0,0,3,14.4542
75,1,0,3,56.4958
77,0,0,3,7.8958
79,1,0,2,29.0
81,0,0,3,9.0
82,1,0,3,9.5
83,1,1,3,7.7875
84,0,0,1,47.1
85,1,1,2,10.5
87,0,0,3,34.375
88,0,0,3,8.05
89,1,1,1,263.0
90,0,0,3,8.05
91,0,0,3,8.05
92,0,0,3,7.8542
93,0,0,1,61.175
94,0,0,3,20.575
95,0,0,3,7.25
96,0,0,3,8.05
97,0,0,1,34.6542
99,1,1,2,23.0
100,0,0,2,26.0
101,0,1,3,7.8958
103,0,0,1,77.2875
105,0,0,3,7.925
106,0,0,3,7.8958
107,1,1,3,7.65
108,1,0,3,7.775
109,0,0,3,7.8958
110,1,1,3,24.15
111,0,0,1,52.0
112,0,1,3,14.4542
113,0,0,3,8.05
115,0,1,3,14.4583
116,0,0,3,7.925
117,0,0,3,7.75
118,0,0,2,21.0
119,0,0,1,247.5208
120,0,1,3,31.275
121,0,0,2,73.5
122,0,0,3,8.05
123,0,0,2,30.0708
124,1,1,2,13.0
125,0,0,1,77.2875
126,1,0,3,11.2417
127,0,0,3,7.75
128,1,0,3,7.1417
129,1,1,3,22.3583
130,0,0,3,6.975
131,0,0,3,7.8958
132,0,0,3,7.05
133,0,1,3,14.5
134,1,1,2,26.0
135,0,0,2,13.0
136,0,0,2,15.0458
137,1,1,1,26.2833
138,0,0,1,53.1
139,0,0,3,9.2167
140,0,0,1,79.2
141,0,1,3,15.2458
144,0,0,3,6.75
147,1,0,3,7.7958
148,0,1,3,34.375
149,0,0,2,26.0
150,0,0,2,13.0
152,1,1,1,66.6
153,0,0,3,8.05
154,0,0,3,14.5
155,0,0,3,7.3125
156,0,0,1,61.3792
157,1,1,3,7.7333
158,0,0,3,8.05
160,0,0,3,69.55
161,0,0,3,16.1
162,1,1,2,15.75
163,0,0,3,7.775
164,0,0,3,8.6625
165,0,0,3,39.6875
166,1,0,3,20.525
167,1,1,1,55.0
168,0,1,3,27.9
169,0,0,1,25.925
170,0,0,3,56.4958
171,0,0,1,33.5
172,0,0,3,29.125
173,1,1,3,11.1333
174,0,0,3,7.925
175,0,0,1,30.6958
177,0,0,3,25.4667
178,0,1,1,28.7125
179,0,0,2,13.0
180,0,0,3,0.0
181,0,1,3,69.55
183,0,0,3,31.3875
184,1,0,2,39.0
185,1,1,3,22.025
186,0,0,1,50.0
187,1,1,3,15.5
188,1,0,1,26.55
189,0,0,3,15.5
190,0,0,3,7.8958
191,1,1,2,13.0
192,0,0,2,13.0
193,1,1,3,7.8542
195,1,1,1,27.7208
196,1,1,1,146.5208
198,0,0,3,8.4042
199,1,1,3,7.75
200,0,1,2,13.0
202,0,0,3,69.55
204,0,0,3,7.225
205,1,0,3,8.05
206,0,1,3,10.4625
207,0,0,3,15.85
208,1,0,3,18.7875
209,1,1,3,7.75
210,1,0,1,31.0
211,0,0,3,7.05
212,1,1,2,21.0
213,0,0,3,7.25
214,0,0,2,13.0
217,1,1,3,7.925
218,0,0,2,27.0
219,1,1,1,76.2917
220,0,0,2,10.5
221,1,0,3,8.05
222,0,0,2,13.0
224,0,0,3,7.8958
225,1,0,1,90.0
226,0,0,3,9.35
227,1,0,2,10.5
228,0,0,3,7.25
229,0,0,2,13.0
230,0,1,3,25.4667
233,0,0,2,13.5
234,1,1,3,31.3875
235,0,0,2,10.5
236,0,1,3,7.55
238,1,1,2,26.25
239,0,0,2,10.5
240,0,0,2,12.275
241,0,1,3,14.4542
242,1,1,3,15.5
243,0,0,2,10.5
244,0,0,3,7.125
245,0,0,3,7.225
246,0,0,1,90.0
247,0,1,3,7.775
249,1,0,1,52.5542
251,0,0,3,7.25
254,0,0,3,16.1
255,0,1,3,20.2125
257,1,1,1,79.2
258,1,1,1,86.5
259,1,1,1,512.3292
260,1,1,2,26.0
261,0,0,3,7.75
262,1,0,3,31.3875
264,0,0,1,0.0
266,0,0,2,10.5
269,1,1,1,153.4625
270,1,1,1,135.6333
272,1,0,3,0.0
273,1,1,2,19.5
274,0,0,1,29.7
275,1,1,3,7.75
276,1,1,1,77.9583
277,0,1,3,7.75
278,0,0,2,0.0
281,0,0,3,7.75
282,0,0,3,7.8542
283,0,0,3,9.5
284,1,0,3,8.05
285,0,0,1,26.0
287,1,0,3,9.5
288,0,0,3,7.8958
289,1,0,2,13.0
290,1,1,3,7.75
291,1,1,1,78.85
292,1,1,1,91.0792
293,0,0,2,12.875
296,0,0,1,27.7208
297,0,0,3,7.2292
298,0,1,1,151.55
301,1,1,3,7.75
303,0,0,3,0.0
304,1,1,2,12.35
305,0,0,3,8.05
306,1,0,1,151.55
307,1,1,1,110.8833
308,1,1,1,108.9
309,0,0,2,24.0
310,1,1,1,56.9292
314,0,0,3,7.8958
315,0,0,2,26.25
316,1,1,3,7.8542
321,0,0,3,7.25
322,0,0,3,7.8958
323,1,1,2,12.35
324,1,1,2,29.0
325,0,0,3,69.55
326,1,1,1,135.6333
327,0,0,3,6.2375
328,1,1,2,13.0
329,1,1,3,20.525
330,1,1,1,57.9792
331,1,1,3,23.25
332,0,0,1,28.5
333,0,0,1,153.4625
334,0,0,3,18.0
335,1,1,1,133.65
336,0,0,3,7.8958
337,0,0,1,66.6
338,1,1,1,134.5
339,1,0,3,8.05
340,0,0,1,35.5
341,1,0,2,26.0
342,1,1,1,263.0
344,0,0,2,13.0
345,0,0,2,13.0
346,1,1,2,13.0
348,1,1,3,16.1
349,1,0,3,15.9
350,0,0,3,8.6625
352,0,0,1,35.0
354,0,0,3,17.8
355,0,0,3,7.225
356,0,0,3,9.5
358,0,1,2,13.0
359,1,1,3,7.8792
360,1,1,3,7.8792
361,0,0,3,27.9
362,0,0,2,27.7208
364,0,0,3,7.05
365,0,0,3,15.5
366,0,0,3,7.25
367,1,1,1,75.25
369,1,1,3,7.75
370,1,1,1,69.3
371,1,0,1,55.4417
372,0,0,3,6.4958
374,0,0,1,135.6333
375,0,1,3,21.075
376,1,1,1,82.1708
377,1,1,3,7.25
378,0,0,1,211.5
379,0,0,3,4.0125
380,0,0,3,7.775
382,1,1,3,15.7417
383,0,0,3,7.925
384,1,1,1,52.0
386,0,0,2,73.5
387,0,0,3,46.9
388,1,1,2,13.0
389,0,0,3,7.7292
392,1,0,3,7.7958
393,0,0,3,7.925
394,1,1,1,113.275
395,1,1,3,16.7
397,0,1,3,7.8542
399,0,0,2,10.5
401,1,0,3,7.925
402,0,0,3,8.05
403,0,1,3,9.825
404,0,0,3,15.85
405,0,1,3,8.6625
406,0,0,2,21.0
407,0,0,3,7.75
408,1,0,2,18.75
409,0,0,3,7.775
410,0,1,3,25.4667
411,0,0,3,7.8958
412,0,0,3,6.8583
415,1,0,3,7.925
416,0,1,3,8.05
417,1,1,2,32.5
418,1,1,2,13.0
420,0,1,3,24.15
421,0,0,3,7.8958
422,0,0,3,7.7333
423,0,0,3,7.875
424,0,1,3,14.4
425,0,0,3,20.2125
427,1,1,2,26.0
428,1,1,2,26.0
429,0,0,3,7.75
430,1,0,3,8.05
431,1,0,1,26.55
432,1,1,3,16.1
434,0,0,3,7.125
435,0,0,1,55.9
436,1,1,1,120.0
437,0,1,3,34.375
438,1,1,2,18.75
439,0,0,1,263.0
440,0,0,2,10.5
442,0,0,3,9.5
443,0,0,3,7.775
444,1,1,2,13.0
445,1,0,3,8.1125
446,1,0,1,81.8583
447,1,1,2,19.5
448,1,0,1,26.55
449,1,1,3,19.2583
450,1,0,1,30.5
451,0,0,2,27.75
452,0,0,3,19.9667
453,0,0,1,27.75
454,1,0,1,89.1042
455,0,0,3,8.05
456,1,0,3,7.8958
457,0,0,1,26.55
458,1,1,1,51.8625
460,0,0,3,7.75
461,1,0,1,26.55
462,0,0,3,8.05
463,0,0,1,38.5
464,0,0,2,13.0
465,0,0,3,8.05
466,0,0,3,7.05
467,0,0,2,0.0
468,0,0,1,26.55
469,0,0,3,7.725
470,1,1,3,19.2583
471,0,0,3,7.25
472,0,0,3,8.6625
473,1,1,2,27.75
474,1,1,2,13.7917
476,0,0,1,52.0
477,0,0,2,21.0
479,0,0,3,7.5208
480,1,1,3,12.2875
481,0,0,3,46.9
482,0,0,2,0.0
483,0,0,3,8.05
486,0,1,3,25.4667
487,1,1,1,90.0
489,0,0,3,8.05
491,0,0,3,19.9667
492,0,0,3,7.25
493,0,0,1,30.5
494,0,0,1,49.5042
498,0,0,3,15.1
499,0,1,1,151.55
500,0,0,3,7.7958
503,0,1,3,7.6292
505,1,1,1,86.5
507,1,1,2,26.0
508,1,0,1,26.55
509,0,0,3,22.525
510,1,0,3,56.4958
511,1,0,3,7.75
513,1,0,1,26.2875
515,0,0,3,7.4958
516,0,0,1,34.0208
518,0,0,3,24.15
519,1,1,2,26.0
521,1,1,1,93.5
522,0,0,3,7.8958
525,0,0,3,7.2292
526,0,0,3,7.75
527,1,1,2,10.5
528,0,0,1,221.7792
529,0,0,3,7.925
530,0,0,2,11.5
533,0,0,3,7.2292
534,1,1,3,22.3583
535,0,1,3,8.6625
537,0,0,1,26.55
538,1,1,1,106.425
540,1,1,1,49.5
541,1,1,1,71.0
542,0,1,3,31.275
544,1,0,2,26.0
545,0,0,1,106.425
547,1,1,2,26.0
548,1,0,2,13.8625
549,0,0,3,20.525
550,1,0,2,36.75
551,1,0,1,110.8833
552,0,0,2,26.0
553,0,0,3,7.8292
554,1,0,3,7.225
555,1,1,3,7.775
556,0,0,1,26.55
557,1,1,1,39.6
558,0,0,1,227.525
559,1,1,1,79.65
560,1,1,3,17.4
561,0,0,3,7.75
563,0,0,2,13.5
564,0,0,3,8.05
566,0,0,3,24.15
569,0,0,3,7.2292
570,1,0,3,7.8542
572,1,1,1,51.4792
573,1,0,1,26.3875
574,1,1,3,7.75
575,0,0,3,8.05
576,0,0,3,14.5
577,1,1,2,13.0
578,1,1,1,55.9
579,0,1,3,14.4583
580,1,0,3,7.925
581,1,1,2,30.0
582,1,1,1,110.8833
583,0,0,2,26.0
584,0,0,1,40.125
585,0,0,3,8.7125
586,1,1,1,79.65
587,0,0,2,15.0
589,0,0,3,8.05
590,0,0,3,8.05
591,0,0,3,7.125
592,1,1,1,78.2667
593,0,0,3,7.25
594,0,1,3,7.75
595,0,0,2,26.0
596,0,0,3,24.15
598,0,0,3,0.0
599,0,0,3,7.225
600,1,0,1,56.9292
601,1,1,2,27.0
602,0,0,3,7.8958
603,0,0,1,42.4
604,0,0,3,8.05
605,1,0,1,26.55
606,0,0,3,15.55
607,0,0,3,7.8958
608,1,0,1,30.5
609,1,1,2,41.5792
611,0,1,3,31.275
612,0,0,3,7.05
614,0,0,3,7.75
616,1,1,2,65.0
617,0,0,3,14.4
618,0,1,3,16.1
619,1,1,2,39.0
621,0,0,3,14.4542
622,1,0,1,52.5542
623,1,0,3,15.7417
624,0,0,3,7.8542
625,0,0,3,16.1
626,0,0,1,32.3208
627,0,0,2,12.35
629,0,0,3,7.8958
630,0,0,3,7.7333
631,1,0,1,30.0
634,0,0,1,0.0
637,0,0,3,7.925
638,0,0,2,26.25
640,0,0,3,16.1
641,0,0,3,7.8542
642,1,1,1,69.3
646,1,0,1,76.7292
647,0,0,3,7.8958
648,1,0,1,35.5
650,1,1,3,7.55
651,0,0,3,7.8958
652,1,1,2,23.0
653,0,0,3,8.4333
654,1,1,3,7.8292
658,0,1,3,15.5
660,0,0,1,113.275
661,1,0,1,133.65
662,0,0,3,7.225
663,0,0,1,25.5875
664,0,0,3,7.4958
665,1,0,3,7.925
666,0,0,2,73.5
668,0,0,3,7.775
669,0,0,3,8.05
670,1,1,1,52.0
671,1,1,2,39.0
672,0,0,1,52.0
673,0,0,2,10.5
674,1,0,2,13.0
675,0,0,2,0.0
676,0,0,3,7.775
678,1,1,3,9.8417
679,0,1,3,46.9
680,1,0,1,512.3292
681,0,1,3,8.1375
683,0,0,3,9.225
685,0,0,2,39.0
686,0,0,2,41.5792
688,0,0,3,10.1708
689,0,0,3,7.7958
690,1,1,1,211.3375
691,1,0,1,57.0
692,1,1,3,13.4167
693,1,0,3,56.4958
696,0,0,2,13.5
697,0,0,3,8.05
698,1,1,3,7.7333
699,0,0,1,110.8833
700,0,0,3,7.65
702,1,0,1,26.2875
703,0,1,3,14.4542
704,0,0,3,7.7417
706,0,0,2,26.0
707,1,1,2,13.5
708,1,0,1,26.2875
710,1,0,3,15.2458
711,1,1,1,49.5042
712,0,0,1,26.55
714,0,0,3,9.4833
715,0,0,2,13.0
717,1,1,1,227.525
718,1,1,2,10.5
719,0,0,3,15.5
720,0,0,3,7.775
721,1,1,2,33.0
722,0,0,3,7.0542
723,0,0,2,13.0
724,0,0,2,13.0
725,1,0,1,53.1
728,1,1,3,7.7375
730,0,1,3,7.925
731,1,1,1,211.3375
732,0,0,3,18.7875
733,0,0,2,0.0
734,0,0,2,13.0
735,0,0,2,13.0
736,0,0,3,16.1
737,0,1,3,34.375
738,1,0,1,512.3292
739,0,0,3,7.8958
740,0,0,3,7.8958
742,0,0,1,78.85
743,1,1,1,262.375
744,0,0,3,16.1
745,1,0,3,7.925
746,0,0,1,71.0
747,0,0,3,20.25
748,1,1,2,13.0
749,0,0,1,53.1
750,0,0,3,7.75
752,1,0,3,12.475
753,0,0,3,9.5
754,0,0,3,7.8958
755,1,1,2,65.0
756,1,0,2,14.5
757,0,0,3,7.7958
758,0,0,2,11.5
759,0,0,3,8.05
760,1,1,1,86.5
762,0,0,3,7.125
764,1,1,1,120.0
766,1,1,1,77.9583
768,0,1,3,7.75
770,0,0,3,8.3625
771,0,0,3,9.5
773,0,1,2,10.5
774,0,0,3,7.225
775,1,1,2,23.0
776,0,0,3,7.75
777,0,0,3,7.75
778,1,1,3,12.475
780,1,1,1,211.3375
782,1,1,1,57.0
783,0,0,1,30.0
784,0,0,3,23.45
786,0,0,3,7.25
787,1,1,3,7.4958
788,0,0,3,29.125
789,1,0,3,20.575
790,0,0,1,79.2
791,0,0,3,7.75
792,0,0,2,26.0
793,0,1,3,69.55
794,0,0,1,30.6958
795,0,0,3,7.8958
796,0,0,2,13.0
798,1,1,3,8.6833
799,0,0,3,7.2292
800,0,1,3,24.15
801,0,0,2,13.0
802,1,1,2,26.25
803,1,0,1,120.0
805,1,0,3,6.975
806,0,0,3,7.775
807,0,0,1,0.0
808,0,1,3,7.775
810,1,1,1,53.1
811,0,0,3,7.8875
812,0,0,3,24.15
813,0,0,2,10.5
814,0,1,3,31.275
815,0,0,3,8.05
817,0,1,3,7.925
818,0,0,2,37.0042
821,1,1,1,93.5
822,1,0,3,8.6625
824,1,1,3,12.475
825,0,0,3,39.6875
826,0,0,3,6.95
827,0,0,3,56.4958
828,1,0,2,37.0042
829,1,0,3,7.75
830,1,1,1,80.0
831,1,1,3,14.4542
832,1,0,2,18.75
833,0,0,3,7.2292
835,0,0,3,8.3
836,1,1,1,83.1583
837,0,0,3,8.6625
841,0,0,3,7.925
842,0,0,2,10.5
843,1,1,1,31.0
844,0,0,3,6.4375
845,0,0,3,8.6625
846,0,0,3,7.55
847,0,0,3,69.55
848,0,0,3,7.8958
850,1,1,1,89.1042
851,0,0,3,31.275
852,0,0,3,7.775
853,0,1,3,15.2458
854,1,1,1,39.4
855,0,1,2,26.0
856,1,1,3,9.35
857,1,1,1,164.8667
858,1,0,1,26.55
859,1,1,3,19.2583
860,0,0,3,7.2292
861,0,0,3,14.1083
862,0,0,2,11.5
863,1,1,1,25.9292
864,0,1,3,69.55
865,0,0,2,13.0
866,1,1,2,13.0
867,1,1,2,13.8583
868,0,0,1,50.4958
869,0,0,3,9.5
870,1,0,3,11.1333
871,0,0,3,7.8958
872,1,1,1,52.5542
873,0,0,1,5.0
874,0,0,3,9.0
875,1,1,2,24.0
876,1,1,3,7.225
877,0,0,3,9.8458
879,0,0,3,7.8958
880,1,1,1,83.1583
882,0,0,3,7.8958
883,0,1,3,10.5167
885,0,0,3,7.05
886,0,1,3,29.125
887,0,0,2,13.0
889,0,1,3,23.45
890,1,0,1,30.0
